,split,model,caused_version,enabled_version,affected_version,model_params,trial,verb,model_pred,data_val,use
97,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",27,caused,0.30420296320586326,0.20967741935483872,test
98,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",24,enabled,0.3929416767916171,0.2903225806451613,train
99,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",27,enabled,0.383152118576728,0.3548387096774194,test
100,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",24,affected,0.2950829571550348,0.5,train
101,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",27,affected,0.2996296989282764,0.3548387096774194,test
102,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",24,didn't affect,0.0,0.03225806451612903,train
103,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",27,didn't affect,0.013015219289132417,0.08064516129032258,test
104,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",25,caused,0.0,0.016129032258064516,train
105,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",28,caused,0.18207748760986264,0.11290322580645161,test
106,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",25,enabled,0.5711157092408483,0.7741935483870968,train
107,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",28,enabled,0.06879950253045611,0.0,test
108,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",25,affected,0.42888429075915174,0.04838709677419355,train
109,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",28,affected,0.38476007294814124,0.5,test
110,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",25,didn't affect,0.0,0.16129032258064516,train
111,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",28,didn't affect,0.3643629369115399,0.3870967741935484,test
112,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",26,caused,0.5959195118043367,0.41935483870967744,train
113,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",29,caused,0.0,0.016129032258064516,test
114,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",26,enabled,0.22517317488573385,0.11290322580645161,train
115,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",29,enabled,0.0,0.0,test
116,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",26,affected,0.17378159377430674,0.46774193548387094,train
117,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",29,affected,0.0,0.0,test
118,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",26,didn't affect,0.005125719535622635,0.0,train
119,0,full,and_hmu_or_ws,or_ws,or_whs,"[0.9, 0.3, 0.3, 0.3, 1.0, None]",29,didn't affect,1.0,0.9838709677419355,test
120,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",2,caused,0.0,0.0967741935483871,train
121,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",0,caused,0.0,0.016129032258064516,test
122,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",2,enabled,0.0,0.03225806451612903,train
123,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",0,enabled,0.0,0.016129032258064516,test
124,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",2,affected,0.42326486051910206,0.24193548387096775,train
125,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",0,affected,0.0,0.016129032258064516,test
126,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",2,didn't affect,0.576735139480898,0.6290322580645161,train
127,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",0,didn't affect,1.0,0.9516129032258065,test
128,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",3,caused,0.4591058011963321,0.4838709677419355,train
129,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",1,caused,0.0,0.03225806451612903,test
130,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",3,enabled,0.1226422099257928,0.11290322580645161,train
131,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",1,enabled,0.6119603070763988,0.7580645161290323,test
132,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",3,affected,0.3328874866820015,0.3548387096774194,train
133,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",1,affected,0.38803969292360124,0.11290322580645161,test
134,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",3,didn't affect,0.08536450219587359,0.04838709677419355,train
135,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",1,didn't affect,0.0,0.0967741935483871,test
136,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",5,caused,0.6961268546533592,0.8225806451612904,train
137,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",4,caused,0.22681750457447108,0.03225806451612903,test
138,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",5,enabled,0.18595830333860144,0.0967741935483871,train
139,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",4,enabled,0.06059039101309657,0.0967741935483871,test
140,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",5,affected,0.1179148420080393,0.06451612903225806,train
141,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",4,affected,0.4597356971987969,0.2903225806451613,test
142,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",5,didn't affect,0.0,0.016129032258064516,train
143,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",4,didn't affect,0.25285640721363545,0.5806451612903226,test
144,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",6,caused,0.32331049234528997,0.3064516129032258,train
145,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",7,caused,0.0,0.016129032258064516,test
146,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",6,enabled,0.4108322010526193,0.1935483870967742,train
147,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",7,enabled,0.6119603070763988,0.7258064516129032,test
148,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",6,affected,0.2658483098145259,0.43548387096774194,train
149,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",7,affected,0.38803969292360124,0.04838709677419355,test
150,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",6,didn't affect,8.996787564995573e-06,0.06451612903225806,train
151,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",7,didn't affect,0.0,0.20967741935483872,test
152,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",8,caused,0.18231492236454228,0.4032258064516129,train
153,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",9,caused,0.6803623841352523,0.6451612903225806,test
154,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",8,enabled,0.23166845064765024,0.25806451612903225,train
155,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",9,enabled,0.18174709647165996,0.11290322580645161,test
156,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",8,affected,0.4927094438440566,0.3064516129032258,train
157,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",9,affected,0.13733973313821118,0.16129032258064516,test
158,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",8,didn't affect,0.09330718314375087,0.03225806451612903,train
159,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",9,didn't affect,0.0005507862548765894,0.08064516129032258,test
160,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",10,caused,0.29463404682549504,0.2903225806451613,train
161,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",12,caused,0.6961268546533592,0.9193548387096774,test
162,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",10,enabled,0.37439290350368376,0.1935483870967742,train
163,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",12,enabled,0.18595830333860144,0.06451612903225806,test
164,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",10,affected,0.3263155522008851,0.4838709677419355,train
165,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",12,affected,0.1179148420080393,0.016129032258064516,test
166,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",10,didn't affect,0.004657497469936064,0.03225806451612903,train
167,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",12,didn't affect,0.0,0.0,test
168,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",11,caused,0.3217777090236237,0.1935483870967742,train
169,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",13,caused,0.3250500039555292,0.5806451612903226,test
170,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",11,enabled,0.4088844858974169,0.532258064516129,train
171,1,full,and_hmu_or_ws,or_ws,or_whs,"[1.4, 0.3, 0.5, 0.5, 1.5, None]",13,enabled,0.4130426068405885,0.1935483870967742,test
