participant,trial,response
27,3,affect
27,4,enable
27,5,enable
27,6,enable
27,7,cause
27,8,cause
27,9,enable
27,10,cause
27,11,affect
27,12,enable
27,13,enable
27,14,affect
27,15,enable
27,16,enable
27,17,cause
27,18,affect
27,19,cause
27,20,affect
27,21,cause
27,22,no_difference
27,23,cause
27,24,enable
27,25,cause
27,26,affect
27,27,cause
27,28,affect
27,29,no_difference
27,30,no_difference
28,0,affect
28,1,cause
28,2,cause
28,3,enable
28,4,cause
28,5,cause
28,6,cause
28,7,cause
28,8,cause
28,9,affect
28,10,cause
28,11,enable
28,12,affect
28,13,cause
28,14,cause
28,15,enable
28,16,affect
28,17,affect
28,18,cause
28,19,cause
28,20,cause
28,21,enable
28,22,enable
28,23,enable
28,24,cause
28,25,enable
28,26,enable
28,27,enable
28,28,cause
28,29,no_difference
28,30,cause
29,0,no_difference
29,1,no_difference
29,2,no_difference
29,3,cause
29,4,no_difference
29,5,cause
29,6,cause
29,7,no_difference
29,8,enable
29,9,cause
29,10,cause
29,11,enable
29,12,cause
29,13,cause
29,14,enable
29,15,cause
29,16,cause
29,17,affect
29,18,no_difference
29,19,no_difference
29,20,affect
29,21,enable
29,22,no_difference
29,23,no_difference
29,24,affect
29,25,no_difference
29,26,cause
29,27,cause
29,28,affect
29,29,no_difference
29,30,no_difference
30,0,no_difference
30,1,enable
30,2,affect
30,3,cause
30,4,affect
30,5,cause
30,6,affect
30,7,no_difference
30,8,cause
30,9,cause
30,10,cause
30,11,cause
30,12,cause
30,13,cause
30,14,cause
30,15,cause
30,16,cause
30,17,cause
30,18,enable
30,19,cause
30,20,cause
30,21,cause
30,22,no_difference
30,23,no_difference
30,24,enable
30,25,no_difference
30,26,cause
30,27,cause
30,28,cause
30,29,no_difference
30,30,no_difference
31,0,no_difference
31,1,cause
31,2,cause
31,3,cause
31,4,cause
31,5,cause
31,6,enable
31,7,affect
31,8,cause
31,9,cause
31,10,affect
31,11,cause
31,12,cause
31,13,affect
31,14,enable
31,15,cause
31,16,cause
31,17,affect
31,18,enable
31,19,enable
31,20,cause
31,21,enable
31,22,no_difference
31,23,no_difference
31,24,enable
31,25,enable
31,26,affect
31,27,enable
31,28,cause
31,29,no_difference
31,30,no_difference
32,0,no_difference
32,1,enable
32,2,affect
32,3,cause
32,4,no_difference
32,5,cause
32,6,enable
32,7,enable
32,8,cause
32,9,cause
32,10,cause
32,11,affect
32,12,cause
32,13,enable
32,14,cause
32,15,cause
32,16,cause
32,17,no_difference
32,18,enable
32,19,affect
32,20,cause
32,21,enable
32,22,no_difference
32,23,no_difference
32,24,affect
32,25,enable
32,26,cause
32,27,enable
32,28,affect
32,29,no_difference
32,30,no_difference
33,0,no_difference
33,1,affect
33,2,no_difference
33,3,affect
33,4,cause
33,5,enable
33,6,cause
33,7,enable
33,8,affect
33,9,cause
33,10,affect
33,11,affect
33,12,cause
33,13,cause
33,14,affect
33,15,cause
33,16,cause
33,17,affect
33,18,enable
33,19,enable
33,20,affect
33,21,affect
33,22,no_difference
33,23,no_difference
33,24,affect
33,25,enable
33,26,affect
33,27,no_difference
33,28,affect
33,29,no_difference
33,30,no_difference
34,0,affect
34,1,enable
34,2,affect
34,3,no_difference
34,4,affect
34,5,cause
34,6,affect
34,7,enable
34,8,enable
34,9,cause
34,10,affect
34,11,enable
34,12,cause
34,13,cause
34,14,affect
34,15,cause
34,16,cause
34,17,affect
34,18,enable
34,19,enable
34,20,cause
34,21,enable
34,22,no_difference
34,23,no_difference
34,24,affect
34,25,affect
34,26,affect
34,27,cause
34,28,affect
34,29,no_difference
34,30,no_difference
35,0,no_difference
35,1,enable
35,2,no_difference
35,3,enable
35,4,no_difference
35,5,cause
35,6,affect
35,7,no_difference
35,8,enable
35,9,affect
35,10,affect
35,11,enable
35,12,cause
35,13,enable
35,14,affect
35,15,enable
35,16,cause
35,17,enable
35,18,enable
35,19,no_difference
35,20,affect
35,21,enable
35,22,no_difference
35,23,no_difference
35,24,cause
35,25,no_difference
35,26,affect
35,27,affect
35,28,no_difference
35,29,no_difference
35,30,no_difference
36,0,no_difference
36,1,affect
36,2,enable
36,3,affect
36,4,affect
36,5,cause
36,6,affect
36,7,enable
36,8,affect
36,9,cause
36,10,affect
36,11,affect
36,12,cause
36,13,affect
36,14,affect
36,15,affect
36,16,cause
36,17,affect
36,18,enable
36,19,affect
36,20,cause
36,21,affect
36,22,no_difference
36,23,no_difference
36,24,affect
36,25,enable
36,26,affect
36,27,affect
36,28,affect
36,29,no_difference
36,30,no_difference
37,0,no_difference
37,1,enable
37,2,no_difference
37,3,cause
37,4,affect
37,5,cause
37,6,cause
37,7,no_difference
37,8,affect
37,9,cause
37,10,cause
37,11,cause
37,12,cause
37,13,cause
37,14,cause
37,15,cause
37,16,cause
37,17,affect
37,18,enable
37,19,affect
37,20,affect
37,21,cause
37,22,no_difference
37,23,no_difference
37,24,affect
37,25,enable
37,26,cause
37,27,cause
37,28,affect
37,29,no_difference
37,30,no_difference
38,0,no_difference
38,1,enable
38,2,no_difference
38,3,affect
38,4,no_difference
38,5,cause
38,6,cause
38,7,enable
38,8,cause
38,9,cause
38,10,affect
38,11,enable
38,12,cause
38,13,enable
38,14,enable
38,15,cause
38,16,cause
38,17,affect
38,18,enable
38,19,enable
38,20,affect
38,21,enable
38,22,no_difference
38,23,no_difference
38,24,enable
38,25,enable
38,26,enable
38,27,cause
38,28,affect
38,29,no_difference
38,30,no_difference
39,0,enable
39,1,enable
39,2,cause
39,3,cause
39,4,enable
39,5,cause
39,6,cause
39,7,enable
39,8,affect
39,9,cause
39,10,cause
39,11,enable
39,12,cause
39,13,affect
39,14,affect
39,15,enable
39,16,cause
39,17,cause
39,18,enable
39,19,cause
39,20,cause
39,21,enable
39,22,no_difference
39,23,no_difference
39,24,enable
39,25,enable
39,26,affect
39,27,enable
39,28,no_difference
39,29,no_difference
39,30,no_difference
40,0,no_difference
40,1,no_difference
40,2,no_difference
40,3,affect
40,4,no_difference
40,5,no_difference
40,6,no_difference
40,7,no_difference
40,8,no_difference
40,9,affect
40,10,no_difference
40,11,no_difference
40,12,affect
40,13,no_difference
40,14,enable
40,15,enable
40,16,no_difference
40,17,affect
40,18,no_difference
40,19,affect
40,20,no_difference
40,21,affect
40,22,enable
40,23,no_difference
40,24,no_difference
40,25,no_difference
40,26,affect
40,27,no_difference
40,28,no_difference
40,29,no_difference
40,30,no_difference
41,0,no_difference
41,1,enable
41,2,no_difference
41,3,affect
41,4,no_difference
41,5,cause
41,6,affect
41,7,enable
41,8,cause
41,9,cause
41,10,enable
41,11,affect
41,12,cause
41,13,affect
41,14,enable
41,15,cause
41,16,affect
41,17,affect
41,18,enable
41,19,affect
41,20,cause
41,21,affect
41,22,no_difference
41,23,no_difference
41,24,affect
41,25,enable
41,26,affect
41,27,affect
41,28,cause
41,29,no_difference
41,30,no_difference
42,0,no_difference
42,1,enable
42,2,affect
42,3,cause
42,4,affect
42,5,cause
42,6,cause
42,7,enable
42,8,affect
42,9,cause
42,10,affect
42,11,enable
42,12,cause
42,13,cause
42,14,enable
42,15,cause
42,16,cause
42,17,affect
